,id,energy,location,vehicle_status,remain_trip_time,destination,dispatched_charging_time,dispatched_serving_time,update_status
0,0,3,19,0,0,0,38,38,1
1,1,0,0,1,0,0,38,38,1
2,2,0,8,0,0,8,38,38,1
3,3,0,0,1,0,0,38,38,1
4,4,0,1,1,0,8,38,38,1
5,5,2,1,1,0,4,38,38,1
6,6,2,1,1,0,0,38,38,1
7,7,2,0,1,0,1,38,38,1
8,8,2,1,1,0,0,38,38,1
9,9,0,1,1,0,15,38,38,1
10,10,4,0,0,0,0,38,38,1
11,11,3,35,0,0,0,38,38,1
12,12,3,21,0,0,3,38,38,1
13,13,0,1,1,0,0,38,38,1
14,14,3,15,0,0,1,38,38,1
15,15,3,35,0,0,14,38,38,1
16,16,3,35,0,0,3,38,38,1
17,17,3,0,0,0,0,38,38,1
18,18,3,27,0,0,25,38,38,1
19,19,1,2,1,0,3,38,38,1
20,20,0,1,1,0,3,38,38,1
21,21,0,1,1,0,15,38,38,1
22,22,0,1,1,0,0,38,38,1
23,23,0,1,1,0,1,38,38,1
24,24,0,2,1,0,1,38,38,1
25,25,3,27,0,0,1,38,38,1
26,26,2,1,1,0,0,38,38,1
27,27,2,1,1,0,0,38,38,1
28,28,3,15,0,0,1,38,38,1
29,29,3,18,0,0,3,38,38,1
30,30,3,15,0,0,15,38,38,1
31,31,3,20,0,0,2,38,38,1
32,32,3,20,0,0,5,38,38,1
33,33,3,30,0,0,2,38,38,1
34,34,3,30,0,0,9,38,38,1
35,35,4,1,1,0,3,38,38,1
36,36,3,30,0,0,4,38,38,1
37,37,3,27,0,0,0,38,38,1
38,38,2,1,1,0,2,38,38,1
39,39,3,30,0,0,25,38,38,1
40,40,3,21,0,0,3,38,38,1
41,41,3,21,0,0,3,38,38,1
42,42,3,27,0,0,3,38,38,1
43,43,3,30,0,0,0,38,38,1
44,44,4,26,2,13,8,38,38,1
45,45,0,7,0,0,7,37,38,1
46,46,0,2,1,0,1,38,38,1
47,47,4,26,2,7,12,38,38,1
48,48,2,1,1,0,13,38,38,1
49,49,0,3,1,0,3,38,38,1
50,50,3,30,0,0,3,38,38,1
51,51,0,2,1,0,0,38,38,1
52,52,2,33,2,3,4,38,38,1
53,53,3,30,0,0,2,38,38,1
54,54,2,0,1,0,3,38,38,1
55,55,3,15,0,0,0,38,38,1
56,56,3,30,0,0,1,38,38,1
