,id,energy,location,vehicle_status,remain_trip_time,destination,dispatched_charging_time,dispatched_serving_time,update_status
0,0,0,0,1,0,0,51,54,1
1,1,2,0,1,0,0,53,54,1
2,2,3,33,0,0,1,54,53,1
3,3,3,33,0,0,0,54,53,1
4,4,3,20,0,0,0,54,53,1
5,5,2,1,1,0,1,53,54,1
6,6,0,2,1,0,1,52,54,1
7,7,3,21,0,0,0,54,53,1
8,8,3,20,0,0,1,54,53,1
9,9,0,2,1,0,1,52,54,1
10,10,2,0,1,0,2,53,54,1
11,11,3,20,0,0,0,54,53,1
12,12,3,21,0,0,3,54,53,1
13,13,1,1,1,0,0,49,54,1
14,14,0,2,1,0,0,52,54,1
15,15,1,33,2,2,0,52,54,1
16,16,1,2,1,0,9,52,54,1
17,17,0,2,1,0,1,52,54,1
18,18,0,4,1,0,1,52,54,1
19,19,2,2,1,0,2,53,54,1
20,20,2,1,1,0,4,53,54,1
21,21,3,21,0,0,0,54,53,1
22,22,1,7,0,0,7,52,53,1
23,23,3,33,0,0,25,54,53,1
24,24,0,1,1,0,4,51,54,1
25,25,0,4,1,0,1,52,54,1
26,26,3,33,0,0,0,54,53,1
27,27,3,18,0,0,9,54,53,1
28,28,1,1,1,0,2,52,54,1
29,29,3,20,0,0,0,54,53,1
30,30,3,20,0,0,1,54,53,1
31,31,3,15,0,0,2,54,53,1
32,32,2,1,1,0,0,53,54,1
33,33,0,1,1,0,14,51,54,1
34,34,1,4,1,0,3,52,54,1
35,35,0,1,1,0,0,51,54,1
36,36,0,4,1,0,0,51,54,1
37,37,2,20,1,0,1,53,54,1
38,38,2,1,1,0,3,53,54,1
39,39,3,20,0,0,23,54,53,1
40,40,1,11,2,16,24,53,54,1
41,41,3,20,0,0,2,54,53,1
42,42,0,1,1,0,4,52,54,1
43,43,3,15,0,0,3,54,53,1
44,44,0,1,1,0,2,52,54,1
45,45,0,8,0,0,8,51,52,1
46,46,0,1,1,0,6,51,54,1
47,47,1,1,1,0,1,52,54,1
48,48,0,4,1,0,1,51,54,1
49,49,2,1,1,0,4,53,54,1
50,50,2,18,2,10,1,53,54,1
51,51,1,1,1,0,15,52,54,1
52,52,0,0,1,0,21,51,54,1
53,53,0,1,1,0,2,51,54,1
54,54,3,33,0,0,3,54,53,1
55,55,2,2,1,0,4,53,54,1
56,56,3,20,0,0,3,54,53,1
57,57,0,8,0,0,8,52,53,1
58,58,3,33,0,0,7,54,53,1
59,59,3,15,0,0,2,54,53,1
60,60,3,15,0,0,4,54,52,1
61,61,2,1,1,0,25,53,54,1
62,62,0,4,1,0,0,53,54,1
63,63,3,20,0,0,1,54,53,1
64,64,1,1,1,0,1,52,54,1
65,65,3,20,0,0,6,54,53,1
66,66,0,6,1,0,0,52,54,1
67,67,3,21,0,0,3,54,53,1
68,68,0,0,1,0,1,53,54,1
69,69,3,20,0,0,4,54,53,1
70,70,1,7,0,0,7,52,53,1
71,71,2,2,1,0,3,53,54,1
72,72,3,21,0,0,8,54,53,1
73,73,3,15,0,0,2,54,53,1
74,74,3,15,0,0,4,54,53,1
75,75,3,27,0,0,4,54,53,1
76,76,3,0,0,0,3,54,53,1
77,77,0,3,1,0,3,51,54,1
78,78,2,1,1,0,4,53,54,1
79,79,2,4,1,0,0,53,54,1
80,80,1,1,1,0,5,52,54,1
81,81,3,27,0,0,25,54,53,1
82,82,3,21,0,0,3,54,52,1
83,83,1,1,1,0,4,52,54,1
84,84,0,4,1,0,3,52,54,1
85,85,3,21,0,0,4,54,53,1
86,86,3,18,0,0,6,54,53,1
87,87,2,6,1,0,0,53,54,1
88,88,1,11,2,16,9,53,54,1
89,89,3,14,0,0,8,54,52,1
90,90,1,33,2,12,10,53,54,1
91,91,2,4,1,0,1,53,54,1
92,92,3,20,0,0,4,54,53,1
93,93,0,5,1,0,2,52,54,1
94,94,2,15,2,0,1,53,54,1
95,95,2,1,1,0,2,53,54,1
96,96,3,24,0,0,10,54,52,1
97,97,1,16,1,0,16,24,54,1
98,98,3,18,0,0,11,54,52,1
99,99,3,19,1,0,28,52,54,1
100,100,2,26,2,7,2,53,54,1
101,101,0,30,1,0,1,53,54,1
102,102,0,4,1,0,3,52,54,1
103,103,1,11,2,16,24,53,54,1
104,104,0,6,1,0,4,51,54,1
105,105,3,25,0,0,5,54,53,1
106,106,0,3,0,0,3,51,52,1
107,107,3,33,0,0,2,54,53,1
108,108,2,1,1,0,4,53,54,1
109,109,0,6,1,0,0,52,54,1
110,110,2,26,2,14,3,53,54,1
111,111,0,3,0,0,3,51,53,1
112,112,3,30,0,0,20,54,53,1
113,113,3,14,0,0,8,54,53,1
114,114,0,3,1,0,3,51,54,1
115,115,3,18,0,0,7,54,51,1
116,116,0,3,1,0,9,51,54,1
117,117,2,2,1,0,1,53,54,1
118,118,2,1,1,0,11,53,54,1
119,119,3,15,0,0,7,54,53,1
120,120,3,27,0,0,2,54,53,1
121,121,3,33,0,0,2,54,53,1
122,122,2,2,1,0,4,53,54,1
123,123,0,3,1,0,8,53,54,1
124,124,0,2,0,0,2,52,53,1
125,125,0,7,1,0,1,53,54,1
126,126,3,21,0,0,3,54,53,1
127,127,0,1,1,0,3,53,54,1
128,128,3,21,0,0,3,54,53,1
129,129,2,2,1,0,4,53,54,1
130,130,3,18,0,0,7,54,53,1
131,131,0,9,0,0,9,51,53,1
132,132,1,16,1,0,16,30,54,1
133,133,1,3,0,0,3,52,53,1
134,134,3,21,0,0,3,54,53,1
135,135,2,18,2,3,2,53,54,1
136,136,0,3,1,0,9,52,54,1
137,137,0,8,1,0,3,52,54,1
138,138,3,23,0,0,4,54,53,1
139,139,2,2,1,0,0,53,54,1
140,140,0,10,0,0,10,51,53,1
141,141,0,3,1,0,3,53,54,1
142,142,2,1,1,0,15,53,54,1
143,143,1,1,1,0,4,52,54,1
144,144,3,23,0,0,3,54,53,1
145,145,0,3,1,0,3,53,54,1
146,146,3,18,0,0,3,54,52,1
147,147,3,29,0,0,12,54,53,1
148,148,0,14,0,0,14,51,53,1
149,149,3,21,0,0,3,54,53,1
150,150,2,7,1,0,11,53,54,1
151,151,0,12,1,0,8,51,54,1
152,152,3,34,0,0,14,54,53,1
153,153,0,3,1,0,3,51,54,1
154,154,3,27,0,0,2,54,53,1
155,155,0,2,1,0,4,51,54,1
156,156,0,2,1,0,2,50,54,1
157,157,3,23,0,0,29,54,53,1
158,158,1,33,2,1,11,53,54,1
159,159,1,18,2,10,1,53,54,1
160,160,1,3,1,0,3,52,54,1
161,161,0,11,1,0,1,51,54,1
162,162,0,14,1,0,3,53,54,1
163,163,3,4,1,0,15,50,54,1
164,164,1,3,1,0,3,53,54,1
165,165,3,29,0,0,7,54,52,1
166,166,1,33,2,3,13,53,54,1
167,167,2,4,1,0,4,53,54,1
168,168,3,21,0,0,26,54,53,1
169,169,0,15,0,0,15,51,53,1
170,170,0,15,1,0,1,52,54,1
171,171,0,4,1,0,10,53,54,1
172,172,0,7,1,0,2,52,54,1
173,173,3,21,0,0,3,54,53,1
174,174,3,29,0,0,3,54,53,1
175,175,3,30,0,0,16,54,53,1
176,176,3,29,0,0,9,54,53,1
177,177,0,4,1,0,4,51,54,1
178,178,1,33,0,0,33,52,53,1
179,179,3,29,0,0,0,54,53,1
180,180,1,8,1,0,8,53,54,1
181,181,0,4,1,0,15,49,54,1
182,182,0,2,1,0,6,51,54,1
183,183,0,4,1,0,4,51,54,1
184,184,1,1,0,0,1,52,53,1
185,185,2,26,2,1,3,53,54,1
186,186,1,3,1,0,18,52,54,1
187,187,3,29,0,0,3,54,53,1
188,188,1,4,1,0,3,52,54,1
189,189,0,3,1,0,24,53,54,1
190,190,3,24,0,0,1,54,53,1
191,191,3,24,0,0,8,54,53,1
192,192,2,4,1,0,1,53,54,1
193,193,0,4,0,0,4,51,53,1
194,194,2,3,1,0,34,53,54,1
195,195,4,34,0,0,34,51,52,1
196,196,1,8,1,0,3,53,54,1
197,197,3,29,0,0,14,54,53,1
198,198,0,7,1,0,21,52,53,1
199,199,2,33,2,12,4,53,54,1
200,200,0,9,0,0,9,52,53,1
201,201,1,4,1,0,1,52,53,1
202,202,2,4,1,0,4,53,54,1
203,203,1,33,2,3,5,49,54,1
204,204,3,18,0,0,3,54,53,1
205,205,1,2,0,0,2,52,53,1
206,206,0,13,1,0,1,51,54,1
207,207,2,26,2,5,8,53,54,1
208,208,0,8,0,0,8,51,52,1
209,209,0,10,0,0,10,52,53,1
210,210,3,30,0,0,4,54,53,1
211,211,1,4,0,0,4,52,53,1
212,212,3,24,0,0,4,54,53,1
213,213,0,9,1,0,3,52,54,1
214,214,0,4,0,0,4,52,53,1
215,215,3,30,0,0,0,54,53,1
216,216,0,12,0,0,12,52,53,1
217,217,3,21,0,0,3,54,52,1
218,218,0,17,1,0,8,51,54,1
219,219,3,18,0,0,1,54,53,1
220,220,3,30,0,0,20,54,53,1
221,221,0,7,1,0,1,53,54,1
222,222,3,21,0,0,9,54,53,1
223,223,1,3,0,0,3,52,53,1
224,224,3,21,0,0,3,54,52,1
225,225,3,14,0,0,14,54,52,1
226,226,3,15,0,0,15,54,53,1
227,227,1,1,0,0,1,52,53,1
228,228,0,4,1,0,1,53,54,1
229,229,0,15,1,0,2,52,54,1
230,230,1,26,2,12,8,52,53,1
231,231,2,7,1,0,10,53,54,1
232,232,3,17,0,0,17,54,52,1
233,233,2,11,2,16,4,53,54,1
234,234,2,33,2,7,15,53,54,1
235,235,3,21,0,0,3,54,53,1
236,236,1,7,1,0,2,52,54,1
237,237,0,15,1,0,2,52,54,1
238,238,2,26,2,21,35,53,54,1
239,239,0,9,1,0,3,53,54,1
240,240,0,15,1,0,1,51,54,1
241,241,0,7,1,0,12,53,54,1
242,242,2,33,2,1,4,53,54,1
243,243,1,26,2,2,12,53,54,1
244,244,1,2,0,0,2,52,53,1
245,245,2,7,1,0,1,53,54,1
246,246,0,9,1,0,12,52,54,1
247,247,0,18,1,0,4,52,54,1
248,248,2,10,1,0,1,53,54,1
249,249,1,14,1,0,14,51,54,1
250,250,0,15,1,0,34,52,54,1
251,251,2,4,1,0,1,53,54,1
252,252,3,33,0,0,2,54,52,1
253,253,2,12,1,0,14,53,54,1
254,254,1,0,1,0,11,53,54,1
255,255,3,0,0,0,7,54,53,1
256,256,3,17,0,0,4,54,53,1
257,257,0,4,1,0,4,53,54,1
258,258,3,21,0,0,9,54,52,1
259,259,3,34,0,0,17,54,53,1
260,260,0,13,0,0,13,52,53,1
261,261,3,15,0,0,1,54,53,1
262,262,3,0,0,0,9,54,53,1
263,263,2,11,1,0,3,53,54,1
264,264,2,12,1,0,14,53,54,1
265,265,3,18,0,0,10,54,53,1
266,266,1,26,2,8,14,52,53,1
267,267,3,30,0,0,4,54,53,1
268,268,0,4,1,0,15,53,54,1
269,269,3,15,0,0,1,54,53,1
270,270,3,15,0,0,1,54,53,1
271,271,3,21,0,0,21,54,52,1
272,272,1,26,2,11,14,52,54,1
273,273,0,9,0,0,9,51,53,1
274,274,0,4,1,0,4,51,54,1
275,275,3,0,0,0,4,54,53,1
276,276,3,0,0,0,3,54,53,1
277,277,1,14,1,0,17,53,54,1
278,278,2,5,1,0,4,53,54,1
279,279,2,7,1,0,32,53,54,1
280,280,2,18,2,4,1,53,54,1
281,281,3,22,0,0,9,54,53,1
282,282,2,12,1,0,14,53,54,1
