,id,energy,location,vehicle_status,remain_trip_time,destination,idle_driving_distance,dispatched_charging_time,dispatched_serving_time,update_status
0,0,2,0,1,0,3,917.2070680000005,67,68,1
1,1,3,0,0,0,1,309.50785279999985,68,67,1
2,2,2,2,1,0,1,519.3391392000003,67,68,1
3,3,0,4,0,0,4,584.7230712000002,66,67,1
4,4,1,0,1,0,1,500.61706240000007,66,68,1
5,5,2,4,1,0,0,579.1972095999997,67,68,1
6,6,3,27,0,0,1,696.9171992000004,68,67,1
7,7,1,3,0,0,3,450.04530400000004,66,67,1
8,8,2,0,1,0,2,583.7593008000001,67,68,1
9,9,3,32,0,0,2,536.5285464,68,67,1
10,10,0,1,1,0,1,652.0783567999999,65,68,1
11,11,3,32,0,0,4,894.9004592000002,68,67,1
12,12,3,15,0,0,0,746.2862183999995,68,67,1
13,13,0,1,1,0,2,946.5253372000003,65,68,1
14,14,0,1,1,0,3,666.6044127999997,65,68,1
15,15,0,1,1,0,1,696.2786887999997,65,68,1
16,16,1,0,0,0,0,584.4968903999995,66,67,1
17,17,1,1,1,0,2,818.2603072,66,68,1
18,18,0,2,1,0,0,703.9641656000008,66,68,1
19,19,2,1,1,0,9,1309.1377508000005,67,68,1
20,20,0,3,1,0,3,687.6941600000005,65,68,1
21,21,2,1,1,0,1,592.255536800002,67,68,1
22,22,0,2,1,0,0,508.51020520000003,66,68,1
23,23,2,4,1,0,1,617.1869103999995,67,68,1
24,24,1,26,2,2,9,635.0578067999999,62,68,1
25,25,0,1,1,0,1,549.2890800000002,67,68,1
26,26,2,33,2,9,13,563.8222527999995,67,68,1
27,27,2,1,1,0,1,804.9283168000004,67,68,1
28,28,3,25,0,0,3,717.8495984000006,68,67,1
29,29,0,1,1,0,1,777.493164,65,68,1
30,30,0,2,1,0,1,728.4742024,66,68,1
31,31,0,1,1,0,18,1282.1248799999996,65,68,1
32,32,2,18,2,1,2,1314.6313087999997,67,68,1
33,33,3,0,0,0,3,513.6989084000003,68,67,1
34,34,2,15,1,0,0,650.1594339999998,67,68,1
35,35,2,2,1,0,0,571.5860699999998,67,68,1
36,36,3,20,0,0,2,551.5339855999982,68,67,1
37,37,2,3,1,0,3,714.0910383999997,67,68,1
38,38,3,20,0,0,1,622.6385459999988,68,67,1
39,39,2,20,1,0,24,686.8463712,67,68,1
40,40,0,1,1,0,20,760.1298399999995,65,68,1
41,41,3,20,0,0,3,659.8251048000001,68,67,1
42,42,1,1,1,0,1,1177.6186196000006,66,68,1
43,43,0,4,1,0,2,768.7392775999998,66,68,1
44,44,0,1,1,0,0,1203.9687940000003,65,68,1
45,45,0,4,1,0,5,652.5043639999993,65,67,1
46,46,1,1,1,0,4,569.3761368,66,68,1
47,47,1,26,2,7,2,1123.2227487999994,66,68,1
48,48,2,2,1,0,9,642.9450559999998,67,68,1
49,49,3,25,0,0,3,680.8520239999996,68,67,1
50,50,1,1,1,0,1,711.4874571999987,66,68,1
51,51,0,1,1,0,2,605.6482423999997,66,68,1
52,52,2,1,1,0,3,588.8656047999992,67,68,1
53,53,1,1,0,0,1,413.46834359999997,66,67,1
54,54,3,20,0,0,4,499.14004840000007,68,67,1
55,55,0,2,1,0,12,922.3716408,66,68,1
56,56,3,25,0,0,2,753.4526136000003,68,67,1
57,57,3,25,0,0,4,496.0349552,68,66,1
58,58,2,2,1,0,1,1094.7425939999998,67,68,1
59,59,2,20,1,0,1,705.8071388000001,67,68,1
60,60,2,18,2,16,3,720.9963359999999,67,68,1
61,61,0,4,1,0,4,504.74903200000017,66,68,1
62,62,3,21,0,0,8,858.7482271999999,68,67,1
63,63,3,20,0,0,5,844.9783867999997,68,66,1
64,64,1,0,0,0,0,583.3914512000001,66,67,1
65,65,0,4,1,0,1,972.8774576000001,66,68,1
66,66,0,1,1,0,9,530.959316799998,67,68,1
67,67,3,14,0,0,8,430.0763416,68,66,1
68,68,0,7,1,0,9,912.5276607999989,67,68,1
69,69,3,25,0,0,9,1285.8352348000008,68,67,1
70,70,2,1,1,0,7,663.8334200000005,67,68,1
71,71,3,0,0,0,0,594.8511672000001,68,66,1
72,72,2,9,1,0,3,757.673654400002,67,68,1
73,73,0,2,1,0,1,1021.5227872000006,67,68,1
74,74,3,20,0,0,13,484.6270583999984,68,66,1
75,75,1,1,1,0,11,543.5413188000022,66,68,1
76,76,0,4,1,0,6,875.049813599999,66,68,1
77,77,0,4,1,0,7,793.2282976000039,66,68,1
78,78,0,5,1,0,10,543.2618176,66,68,1
79,79,0,3,0,0,3,386.5481024000001,65,67,1
80,80,0,1,1,0,9,1037.6104248000001,66,68,1
81,81,0,1,1,0,1,1786.8879232000004,65,68,1
82,82,2,26,2,36,1,1300.6856612000001,67,68,1
83,83,3,25,0,0,4,1094.3656260000002,68,67,1
84,84,1,0,1,0,0,704.8584360000002,67,68,1
85,85,0,9,0,0,9,1529.4308443999994,65,66,1
86,86,1,2,1,0,0,884.3653711999997,67,68,1
87,87,2,26,2,11,3,1023.0215407999998,67,68,1
88,88,2,26,2,11,3,647.2418240000001,67,68,1
89,89,3,20,0,0,7,1148.2110012000003,68,66,1
90,90,3,25,0,0,4,1151.5214808000007,68,67,1
91,91,3,30,0,0,4,822.3046512,68,67,1
92,92,0,1,1,0,1,1182.3124827999998,66,68,1
93,93,3,32,0,0,4,665.0180336,68,67,1
94,94,3,29,0,0,14,632.1415312,68,67,1
95,95,0,2,1,0,4,380.691532,67,68,1
96,96,0,3,0,0,3,496.81263240000004,66,67,1
97,97,3,30,0,0,4,769.807020000003,68,67,1
98,98,3,14,0,0,17,644.8636452,68,67,1
99,99,1,26,2,7,3,779.5764960000001,63,68,1
100,100,0,11,1,0,3,796.5071407999995,65,67,1
101,101,1,4,1,0,7,702.7636503999998,67,68,1
102,102,2,33,2,8,0,710.8773583999999,67,68,1
103,103,2,7,1,0,3,608.6803327999999,67,68,1
104,104,1,4,1,0,9,409.8491728000001,66,68,1
105,105,2,4,1,0,1,576.9546948000011,67,68,1
106,106,3,32,0,0,1,853.8383023999995,68,67,1
107,107,0,2,1,0,3,1131.2630092000002,65,68,1
108,108,0,4,1,0,4,584.4323944000001,65,68,1
109,109,0,9,1,0,3,459.94388319999973,66,68,1
110,110,0,13,1,0,1,716.3621315999999,63,67,1
111,111,3,32,0,0,10,480.9901512,68,66,1
112,112,2,5,1,0,1,722.5158839999997,67,68,1
113,113,3,21,0,0,1,1125.3193136000007,68,67,1
114,114,3,20,0,0,3,2484.7182967999993,68,67,1
115,115,3,30,0,0,12,570.4623384,68,66,1
116,116,0,4,1,0,2,758.5962808,66,68,1
117,117,1,18,2,10,1,1524.4679328000002,67,68,1
118,118,1,18,2,6,10,1006.2689271999999,66,68,1
119,119,3,32,0,0,1,705.824486,68,67,1
120,120,1,4,0,0,4,1059.2580067999997,66,67,1
121,121,0,2,1,0,9,1172.0060776000005,65,68,1
122,122,2,4,1,0,4,1813.4450963999996,67,68,1
123,123,2,33,2,5,7,516.8614364000001,67,68,1
124,124,2,0,1,0,9,838.8414256,67,68,1
125,125,0,7,1,0,2,445.63917080000004,64,68,1
126,126,0,2,1,0,2,578.1947416000002,65,67,1
127,127,0,4,1,0,3,674.2159416000003,66,68,1
128,128,3,20,0,0,10,859.3762847999994,68,67,1
129,129,3,24,0,0,1,1210.4132788000002,68,67,1
130,130,0,15,1,0,4,535.4598032000002,66,68,1
131,131,1,3,1,0,1,1696.5480980000002,66,68,1
132,132,1,3,1,0,3,772.5126827999999,66,68,1
133,133,3,21,0,0,3,2399.9264063999995,68,67,1
134,134,2,18,2,3,2,1063.1959324000004,67,68,1
135,135,2,26,2,2,3,655.1015512,67,68,1
136,136,3,32,0,0,9,674.9390195999969,68,66,1
137,137,2,15,1,0,8,593.728492,67,68,1
138,138,2,11,1,0,4,1206.2667420000007,67,68,1
139,139,2,20,1,0,7,727.0025816000002,67,68,1
140,140,3,30,0,0,15,922.9787928000002,68,67,1
141,141,1,1,0,0,1,688.5328303999993,66,67,1
142,142,2,26,2,5,3,721.8814880000002,67,68,1
143,143,1,33,2,3,4,677.2434172000001,66,68,1
144,144,3,21,0,0,9,1357.6176148000002,68,67,1
145,145,3,20,0,0,1,1052.5199539999999,68,67,1
146,146,0,1,1,0,4,541.3936576,66,68,1
147,147,3,24,0,0,9,909.2206840000001,68,67,1
148,148,2,2,1,0,15,785.4810491999999,67,68,1
149,149,0,9,1,0,3,1250.5886712,66,68,1
150,150,2,1,1,0,1,619.5675911999999,67,68,1
151,151,3,20,0,0,1,1172.233148,68,66,1
152,152,3,32,0,0,0,1122.1784139999997,68,66,1
153,153,1,4,0,0,4,888.6649191999999,66,67,1
154,154,2,5,0,0,5,967.1956936000001,63,67,1
155,155,2,8,1,0,12,970.7143952000001,67,68,1
156,156,3,20,0,0,2,569.468543999999,68,57,1
157,157,1,7,1,0,9,563.4450067999998,66,68,1
158,158,0,3,0,0,3,1102.2307463999998,66,67,1
159,159,3,21,0,0,9,1047.4480664,68,67,1
160,160,2,11,2,16,9,878.7998111999998,64,68,1
161,161,0,8,1,0,12,752.2791200000001,61,68,1
162,162,0,15,1,0,1,545.4358888000002,66,68,1
163,163,1,4,1,0,24,1022.5166928000001,66,68,1
164,164,2,26,2,1,3,616.4419815999998,67,68,1
165,165,1,1,0,0,1,652.768241600003,66,67,1
166,166,3,21,0,0,7,675.728539600004,68,67,1
167,167,3,30,0,0,9,1080.9977736,68,67,1
168,168,0,9,1,0,10,667.226354400002,66,68,1
169,169,3,33,0,0,33,704.4686799999997,68,66,1
170,170,0,6,1,0,2,630.0607011999988,65,68,1
171,171,3,21,0,0,9,769.3971368000002,68,67,1
172,172,0,5,1,0,4,650.4402695999999,66,68,1
173,173,0,1,1,0,11,945.4466416000001,66,68,1
174,174,0,31,1,0,20,482.3557984,67,68,1
175,175,0,4,1,0,4,1120.9984707999997,65,68,1
176,176,2,3,1,0,10,1148.0328031999995,67,68,1
177,177,3,20,0,0,2,933.0416143999996,68,66,1
178,178,0,9,1,0,11,879.1856752,66,68,1
179,179,1,8,0,0,8,630.1186920000002,66,67,1
180,180,3,0,0,0,21,602.7246831999994,68,67,1
181,181,2,33,2,1,4,879.4208632000003,67,68,1
182,182,3,32,0,0,2,633.5368688,68,67,1
183,183,2,12,1,0,3,836.1982015999998,67,68,1
184,184,0,4,1,0,4,715.003212,65,68,1
185,185,0,7,1,0,11,1214.5948435999999,66,68,1
186,186,2,33,2,3,13,954.2581296000001,64,68,1
187,187,3,20,0,0,1,737.1993992,68,67,1
188,188,2,33,2,0,5,900.9483491999999,67,68,1
189,189,1,18,2,7,9,654.8102072000022,63,68,1
190,190,4,2,0,0,2,1110.3978304000004,65,66,1
191,191,0,4,1,0,4,970.5518208000003,65,68,1
192,192,3,14,0,0,8,1294.2056480000008,68,65,1
193,193,3,24,0,0,10,540.961868,68,66,1
194,194,0,1,1,0,4,597.9975712,66,68,1
195,195,3,21,0,0,22,694.3448095999994,68,67,1
196,196,2,26,2,28,7,836.6347728,67,68,1
197,197,0,9,1,0,3,1005.0596271999998,66,68,1
198,198,0,3,0,0,3,714.903132,65,66,1
199,199,2,4,1,0,4,797.9955528,67,68,1
200,200,3,21,0,0,9,1530.1301256000002,68,66,1
201,201,0,15,1,0,1,922.7335412000004,66,68,1
202,202,0,10,1,0,9,681.1469819999979,66,68,1
203,203,3,14,0,0,14,570.6427603999971,68,66,1
204,204,2,4,1,0,2,776.1371911999998,67,68,1
205,205,2,3,1,0,11,675.721700799999,67,68,1
206,206,3,20,0,0,1,791.5592968000002,68,65,1
207,207,3,21,0,0,3,1045.3809696,68,67,1
208,208,1,4,1,0,32,688.0176408000001,66,68,1
209,209,2,1,1,0,5,392.561687199994,67,68,1
210,210,0,14,1,0,3,1175.056293599999,66,68,1
211,211,0,15,1,0,4,475.25078559999986,66,68,1
212,212,0,9,1,0,12,685.5891440000001,66,68,1
213,213,1,26,2,16,8,604.2500692,66,67,1
214,214,2,0,1,0,3,856.2435584000002,67,68,1
215,215,2,7,1,0,33,806.112930399999,67,68,1
216,216,0,4,1,0,1,966.6399160000001,67,68,1
